publication_id,source_id,ioc_type,value,confidence
pub-006,src-006,defanged_domain,tubely[.]com,high
pub-006,src-006,defanged_domain,ixmax[.]cn,high
pub-010,src-010,sha256,c32974b865152c6ca3c5f0cc787319dfc2b32ea1bebc1f37f6c36d2ca75439c8,high
pub-010,src-010,sha256,b9e7780b1bf98b1f2e0fd25c793530891bbb678da743be6229d3466234c9e56c,high
pub-010,src-010,sha256,51073b3884699eb4779004ab08d793635f3913c36139bce9ff0aead9f383849c,high
pub-010,src-010,sha256,5c85249d375a3a38e87a45857c069c6710caef1e521194eed1b4c1ff463e5b0b,high
pub-010,src-010,sha256,24b94fed39c67b5a4f6675dc944b1a17914a90d218432d0aa8714442f6fa77eb,high
pub-010,src-010,sha256,4eb777f90399df3c658181550b02a247b2ce45546bd576b8b8c222946bb17c01,high
pub-010,src-010,sha256,ef3fad88a7ffd4ea39152f0f190db38afdeac256ddfde0ac3a1369c4744357c0,high
pub-010,src-010,sha256,81c074fa84dc8637740e77ac8b4fe1b64d7da74f1c2b8bc56d14fcbb633829cc,high
pub-010,src-010,sha256,88f8249b22062a36a7cc170ce9de943b6cd73ce7bf6625a0572b46def686baac,high
pub-010,src-010,sha256,ce371d4ab4c782ca2db441c723ceafbf05b6d6ae0234469747288dcecf2eafbc,high
pub-010,src-010,sha256,31648abf13e3e9e96ffa8ef6361473a72cc6e5e1ac170f26df558155a76cf9fb,high
pub-010,src-010,sha256,6667500156d0b0d81fb98d32794c8c50de82fc915d2a59780e9b6e1b9f78ada7,high
pub-010,src-010,sha256,d3fe939abc37519cf9968874270d356abd8b10887ce7e78a5fb1624d288f14b8,high
pub-010,src-010,md5,c901c23016390f8edb3799b5f1b98e2c,high
pub-010,src-010,md5,07b0f47e2c9fadf6bb742405b1fa712c,high
pub-010,src-010,md5,3572d45b0c17ed8c04f82065bf1a5e78,high
pub-010,src-010,md5,c5ba8159cbb49d89e0fb07b5a93c507b,high
