publication_id,source_id,metric_type,raw_value,normalized_numeric,unit,extraction_method,confidence
pub-001,src-001,percentage,96.23%,96.23,percent,percentage_regex,medium
pub-001,src-001,percentage,90%,90,percent,percentage_regex,medium
pub-001,src-001,percentage,88.2%,88.2,percent,percentage_regex,medium
pub-003,src-003,percentage,66%,66,percent,percentage_regex,medium
pub-003,src-003,percentage,43%,43,percent,percentage_regex,medium
pub-004,src-004,percentage,25%,25,percent,percentage_regex,medium
pub-004,src-004,duration_or_dwell,15 years,15,contextual,duration_regex,medium
pub-004,src-004,blast_radius,80 countries,80,contextual,count_context_regex,medium
pub-005,src-005,financial_value,$50,50,currency,currency_regex,medium
pub-005,src-005,financial_value,$10,10,currency,currency_regex,medium
pub-005,src-005,financial_value,$15,15,currency,currency_regex,medium
pub-005,src-005,percentage,60%,60,percent,percentage_regex,medium
pub-005,src-005,percentage,50%,50,percent,percentage_regex,medium
pub-005,src-005,percentage,36%,36,percent,percentage_regex,medium
pub-005,src-005,percentage,31%,31,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,17 %,17,percent,percentage_regex,medium
pub-005,src-005,percentage,18%,18,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,17%,17,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,17%,17,percent,percentage_regex,medium
pub-005,src-005,percentage,5%,5,percent,percentage_regex,medium
pub-005,src-005,percentage,10%,10,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,9%,9,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,50%,50,percent,percentage_regex,medium
pub-005,src-005,percentage,58%,58,percent,percentage_regex,medium
pub-005,src-005,percentage,25%,25,percent,percentage_regex,medium
pub-005,src-005,percentage,25 %,25,percent,percentage_regex,medium
pub-005,src-005,percentage,57%,57,percent,percentage_regex,medium
pub-005,src-005,percentage,26%,26,percent,percentage_regex,medium
pub-005,src-005,percentage,17%,17,percent,percentage_regex,medium
pub-005,src-005,percentage,48%,48,percent,percentage_regex,medium
pub-005,src-005,percentage,31%,31,percent,percentage_regex,medium
pub-005,src-005,percentage,17%,17,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,12%,12,percent,percentage_regex,medium
pub-005,src-005,percentage,70%,70,percent,percentage_regex,medium
pub-005,src-005,percentage,20%,20,percent,percentage_regex,medium
pub-005,src-005,percentage,19%,19,percent,percentage_regex,medium
pub-005,src-005,percentage,69%,69,percent,percentage_regex,medium
pub-005,src-005,percentage,16%,16,percent,percentage_regex,medium
pub-005,src-005,percentage,11%,11,percent,percentage_regex,medium
pub-005,src-005,percentage,16%,16,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,2%,2,percent,percentage_regex,medium
pub-005,src-005,percentage,11%,11,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,2%,2,percent,percentage_regex,medium
pub-005,src-005,percentage,8.5%,8.5,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,2%,2,percent,percentage_regex,medium
pub-005,src-005,percentage,7%,7,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,25%,25,percent,percentage_regex,medium
pub-005,src-005,percentage,5%,5,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,4%,4,percent,percentage_regex,medium
pub-005,src-005,percentage,2%,2,percent,percentage_regex,medium
pub-005,src-005,percentage,60%,60,percent,percentage_regex,medium
pub-005,src-005,percentage,32%,32,percent,percentage_regex,medium
pub-005,src-005,percentage,10%,10,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,44%,44,percent,percentage_regex,medium
pub-005,src-005,percentage,50%,50,percent,percentage_regex,medium
pub-005,src-005,percentage,32%,32,percent,percentage_regex,medium
pub-005,src-005,percentage,10%,10,percent,percentage_regex,medium
pub-005,src-005,percentage,20%,20,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,44%,44,percent,percentage_regex,medium
pub-005,src-005,percentage,50%,50,percent,percentage_regex,medium
pub-005,src-005,percentage,20%,20,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,24%,24,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,16%,16,percent,percentage_regex,medium
pub-005,src-005,percentage,22%,22,percent,percentage_regex,medium
pub-005,src-005,percentage,19%,19,percent,percentage_regex,medium
pub-005,src-005,percentage,24%,24,percent,percentage_regex,medium
pub-005,src-005,percentage,6%,6,percent,percentage_regex,medium
pub-005,src-005,percentage,14%,14,percent,percentage_regex,medium
pub-005,src-005,percentage,6%,6,percent,percentage_regex,medium
pub-005,src-005,percentage,50%,50,percent,percentage_regex,medium
pub-005,src-005,percentage,10%,10,percent,percentage_regex,medium
pub-005,src-005,percentage,6%,6,percent,percentage_regex,medium
pub-005,src-005,percentage,9%,9,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,9%,9,percent,percentage_regex,medium
pub-005,src-005,percentage,3%,3,percent,percentage_regex,medium
pub-005,src-005,percentage,8%,8,percent,percentage_regex,medium
pub-005,src-005,percentage,2%,2,percent,percentage_regex,medium
pub-005,src-005,percentage,17%,17,percent,percentage_regex,medium
pub-005,src-005,percentage,7%,7,percent,percentage_regex,medium
pub-005,src-005,percentage,1%,1,percent,percentage_regex,medium
pub-005,src-005,percentage,22 %,22,percent,percentage_regex,medium
pub-005,src-005,percentage,53%,53,percent,percentage_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
pub-005,src-005,duration_or_dwell,2024 YEAR,2024,contextual,duration_regex,medium
