publication_id,tag_count,metric_count,ioc_count,core_dimension_fill_count,core_dimension_fill_percent,ai_relevance,analysis_inclusion,manual_review_required
pub-001,7,3,0,3,30.0,background_ai_mention,context_only,yes
pub-002,6,0,0,2,20.0,background_ai_mention,context_only,yes
pub-003,8,2,0,3,30.0,core_ai_attack,include_with_manual_validation,yes
pub-004,63,3,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-005,126,123,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-006,50,7,2,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-007,70,1,0,9,90.0,core_ai_attack,include_with_manual_validation,yes
pub-008,25,59,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-009,11,3,0,3,30.0,core_ai_attack,include_with_manual_validation,yes
pub-010,2,0,46,1,10.0,non_ai,exclude_non_ai,yes
pub-011,16,1,0,5,50.0,adjacent_ai_security,context_only,yes
pub-012,93,4,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-013,34,16,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-014,39,1,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-015,117,0,0,9,90.0,core_ai_attack,include_with_manual_validation,yes
pub-016,52,0,38,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-017,39,0,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-018,99,0,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-019,103,0,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-020,65,0,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-021,61,0,16,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-022,107,97,0,10,100.0,core_ai_attack,include_with_manual_validation,yes
pub-023,82,10,0,9,90.0,core_ai_attack,include_with_manual_validation,yes
pub-024,5,0,0,4,40.0,core_ai_attack,include_with_manual_validation,yes
pub-025,7,0,0,4,40.0,core_ai_attack,include_with_manual_validation,yes
pub-026,8,0,4,6,60.0,core_ai_attack,include_with_manual_validation,yes
pub-027,6,0,0,4,40.0,core_ai_attack,include_with_manual_validation,yes
pub-028,20,0,4,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-029,15,0,2,6,60.0,core_ai_attack,include_with_manual_validation,yes
pub-030,22,0,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-031,42,0,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-032,54,2,9,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-033,65,0,36,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-034,67,11,2,6,60.0,core_ai_attack,include_with_manual_validation,yes
pub-035,72,1,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-036,60,0,1,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-037,38,0,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-038,96,2,90,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-040,65,16,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-041,45,2,1,6,60.0,core_ai_attack,include_with_manual_validation,yes
